Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2021-08-04,952.8259887695312,957.4683707455586,945.2395739719021,948.5911674624529,13169800
2021-08-05,966.6400756835938,975.9474827845528,953.0525024475675,957.604315821072,21252078
2021-08-06,946.1681518554688,972.392083052254,941.5030673967123,964.6924564242829,16620987
2021-08-09,940.7784423828125,946.5078930939915,935.9548618556917,942.522196064497,7494143
2021-08-10,945.7152709960938,957.0156171230963,939.2385654839516,942.9751378756041,11919198
2021-08-11,958.963134765625,960.1859966454768,943.6092248291548,949.7462363911606,9184963
2021-08-12,955.8832397460938,962.994047792915,953.3921717385531,962.4052292074406,8137612
2021-08-13,971.8032836914062,973.7282353115995,955.181228214771,958.9630848706249,12780901
2021-08-16,984.4170532226562,997.7781437654177,963.8772277608733,973.4791039346753,21935444
2021-08-17,980.2276000976562,989.716205298415,972.7997402220516,982.3110475847799,12658169
2021-08-18,984.0321044921875,990.4408829212671,974.9511198541776,984.6435653646352,10075860
2021-08-20,972.9808959960938,983.7376470917055,967.88554870858,970.6030393085123,9426282
2021-08-23,979.3670654296875,984.6435509846982,965.7568499022403,984.6435509846982,9854395
2021-08-24,989.0369262695312,992.7961409161452,976.3098780018888,980.5899844960273,11864472
2021-08-25,997.5970458984375,1005.4778714076189,987.4064100092222,989.8069092436782,13380559
2021-08-26,1010.210693359375,1016.7553848783828,998.6839258042111,1000.0427010414176,18589616
2021-08-27,1008.829345703125,1015.7817181947378,1003.6887734868195,1013.1773788430729,10480636
2021-08-30,1028.2369384765625,1030.7733511879242,1013.086868200183,1019.0653841621985,14027062
2021-08-31,1022.7567138671875,1034.3513502485355,1015.5552757824454,1031.248880823453,26485463
2021-09-01,1026.8101806640625,1038.495504793424,1024.9532755584123,1029.482446811587,11145486
2021-09-02,1039.1749267578125,1045.2440116453542,1021.3299483032399,1021.3299483032399,9956770
2021-09-03,1081.79443359375,1084.7384068201698,1042.8435137983438,1046.2403322593964,30664428
2021-09-06,1098.5977783203125,1123.2365131929273,1092.4380047519112,1092.8909697996994,33641710
2021-09-07,1105.52734375,1113.272195169168,1092.4379602260194,1100.5904921516135,17349882
2021-09-08,1101.2021484375,1111.460771899485,1090.0150722909684,1110.5549614804072,14301651
2021-09-09,1098.5977783203125,1104.145971203985,1094.2950296674799,1099.6394421897962,8963249
2021-09-13,1074.1175537109375,1101.949327153265,1072.5323557228828,1101.949327153265,16311160
2021-09-14,1072.7135009765625,1084.2854942866497,1071.6037904973264,1075.6801166083583,8908356
2021-09-15,1077.1746826171875,1085.0780298856923,1072.7360805602518,1072.7360805602518,9071075
2021-09-16,1099.7750244140625,1103.6474493260278,1072.0564694964737,1078.6464444240007,13448882
2021-09-17,1082.7227783203125,1112.2983612101125,1075.9516645338,1107.8371172912175,34882133
2021-09-20,1084.444091796875,1095.3140549772365,1073.415512979037,1074.3666078022443,11779819
2021-09-21,1089.1317138671875,1094.521410709491,1079.756260196694,1089.2675674362638,9915736
2021-09-22,1100.81689453125,1106.0253328041451,1086.2102417475817,1090.6262009705367,10995912
2021-09-23,1127.7203369140625,1130.9360171926044,1107.6107744419755,1108.4713001643795,15748397
2021-09-24,1124.459228515625,1134.7631343059459,1119.613065939266,1133.9026086017536,15192163
2021-09-27,1143.3685302734375,1145.8370159244848,1121.1077134942575,1126.4068411721403,15373834
2021-09-28,1154.0574951171875,1161.689135216267,1138.092065214608,1147.6939414575027,18035258
2021-09-29,1144.9088134765625,1163.9992386829224,1141.3760209862874,1163.9992386829224,9719875
2021-09-30,1141.013427734375,1147.965800183617,1132.4533348800387,1143.617767070168,13590654
2021-10-01,1143.0289306640625,1150.320936930379,1130.0302358504632,1133.1779894261922,8958928
2021-10-04,1157.7261962890625,1166.1957202690803,1149.0754144086845,1156.2994941506686,10918552
2021-10-05,1181.75341796875,1183.0216242133338,1153.7403880823629,1157.2505376163047,13533634
