Price,Close
Ticker,RELIANCE.NS
Date,
2020-09-04,937.5552368164062
2020-09-07,939.992431640625
2020-09-08,951.0278930664062
2020-09-09,975.5132446289062
2020-09-10,1044.4110107421875
2020-09-11,1047.0062255859375
2020-09-14,1039.2432861328125
2020-09-15,1046.5999755859375
2020-09-16,1049.1724853515625
2020-09-17,1037.528076171875
2020-09-18,1040.6650390625
2020-09-21,1018.1653442382812
2020-09-22,997.990234375
2020-09-23,1006.8590698242188
2020-09-24,984.4724731445312
2020-09-25,993.7250366210938
2020-09-28,1000.2921142578125
2020-09-29,1013.2908325195312
2020-09-30,1008.4615478515625
2020-10-01,1004.354248046875
2020-10-05,998.4641723632812
2020-10-06,997.629150390625
2020-10-07,1018.9102172851562
2020-10-08,1010.6729736328125
2020-10-09,1008.0552978515625
2020-10-12,1009.679931640625
2020-10-13,1029.381103515625
2020-10-14,1032.450439453125
2020-10-15,995.8915405273438
2020-10-16,982.0352172851562
2020-10-19,982.2157592773438
2020-10-20,973.053466796875
2020-10-21,958.9263916015625
2020-10-22,950.9601440429688
2020-10-23,953.7133178710938
2020-10-26,915.8229370117188
2020-10-27,918.2603149414062
2020-10-28,907.8568115234375
2020-10-29,914.830078125
2020-10-30,927.2870483398438
2020-11-02,847.3766479492188
2020-11-03,835.167724609375
2020-11-04,863.5121459960938
2020-11-05,882.37841796875
2020-11-06,915.8455810546875
2020-11-09,925.5719604492188
2020-11-10,940.85009765625
2020-11-11,901.425048828125
2020-11-12,893.6619262695312
2020-11-13,901.0640258789062
2020-11-14,903.7269897460938
2020-11-17,899.6422729492188
2020-11-18,896.9117431640625
2020-11-19,890.5703125
2020-11-20,857.3287963867188
2020-11-23,880.4375610351562
2020-11-24,886.4630737304688
2020-11-25,879.128662109375
2020-11-26,881.2950439453125
2020-11-27,871.0044555664062
2020-12-01,882.3331909179688
2020-12-02,883.8001098632812
2020-12-03,886.4630737304688
2020-12-04,878.65478515625
2020-12-07,883.8226318359375
2020-12-08,899.8679809570312
2020-12-09,914.8526000976562
2020-12-10,905.8482666015625
2020-12-11,905.3067626953125
2020-12-14,898.7621459960938
2020-12-15,891.1118774414062
2020-12-16,892.1048583984375
2020-12-17,896.189453125
2020-12-18,898.875
2020-12-21,875.4727783203125
2020-12-22,874.1187744140625
2020-12-23,877.3458862304688
2020-12-24,900.0484619140625
2020-12-28,904.1782836914062
2020-12-29,898.1980590820312
2020-12-30,900.6577758789062
2020-12-31,896.0540771484375
2021-01-01,897.047119140625
2021-01-04,898.55908203125
2021-01-05,887.3882446289062
2021-01-06,863.9861450195312
2021-01-07,862.5869140625
2021-01-08,872.7647094726562
2021-01-11,856.313232421875
2021-01-12,883.3035888671875
2021-01-13,875.0665893554688
2021-01-14,884.9059448242188
2021-01-15,874.4573364257812
2021-01-18,895.4447631835938
2021-01-19,910.0908203125
2021-01-20,927.3773193359375
2021-01-21,947.552490234375
2021-01-22,925.0755615234375
2021-01-25,876.0595092773438
2021-01-27,855.2976684570312
2021-01-28,846.9703979492188
2021-01-29,831.353759765625
2021-02-01,855.4331665039062
2021-02-02,869.1990966796875
2021-02-03,871.3881225585938
2021-02-04,868.5220947265625
2021-02-05,868.2738647460938
2021-02-08,880.776123046875
2021-02-09,882.8973999023438
2021-02-10,891.0892333984375
2021-02-11,927.8286743164062
2021-02-12,921.46484375
2021-02-15,917.402587890625
2021-02-16,929.5438232421875
2021-02-17,940.2633056640625
2021-02-18,933.2448120117188
2021-02-19,938.9318237304688
2021-02-22,906.3446655273438
2021-02-23,913.2728881835938
2021-02-24,930.2208251953125
2021-02-25,967.8404541015625
2021-02-26,941.4141845703125
2021-03-01,948.5905151367188
2021-03-02,950.5313720703125
2021-03-03,993.9055786132812
2021-03-04,982.0578002929688
2021-03-05,983.3440551757812
2021-03-08,988.9407958984375
2021-03-09,988.9180908203125
2021-03-10,984.8109130859375
2021-03-12,964.7939453125
2021-03-15,951.8402099609375
2021-03-16,948.0941772460938
2021-03-17,927.6707763671875
2021-03-18,906.7960205078125
2021-03-19,939.6990966796875
2021-03-22,930.8526611328125
2021-03-23,942.1815185546875
2021-03-24,924.0374145507812
2021-03-25,898.829833984375
2021-03-26,900.274169921875
2021-03-30,915.9132690429688
2021-03-31,904.0879516601562
2021-04-01,912.55078125
2021-04-05,899.348876953125
2021-04-06,895.602783203125
2021-04-07,903.9751586914062
2021-04-08,905.1034545898438
2021-04-09,894.5872192382812
2021-04-12,862.5869140625
2021-04-13,871.9072265625
2021-04-15,877.5489501953125
2021-04-16,872.0426025390625
2021-04-19,858.3217163085938
2021-04-20,858.073486328125
2021-04-22,860.4429931640625
2021-04-23,859.517822265625
2021-04-26,874.6376953125
2021-04-27,897.5661010742188
2021-04-28,901.47021484375
2021-04-29,913.5437622070312
2021-04-30,900.2064819335938
2021-05-03,884.2063598632812
2021-05-04,865.0467529296875
2021-05-05,866.62646484375
2021-05-06,871.5460205078125
2021-05-07,871.8846435546875
2021-05-10,869.379638671875
2021-05-11,872.5165405273438
2021-05-12,863.4895629882812
2021-05-14,874.3895874023438
2021-05-17,884.7931518554688
2021-05-18,897.2501831054688
2021-05-19,901.3573608398438
2021-05-20,896.09912109375
2021-05-21,903.8397216796875
2021-05-24,896.2120361328125
2021-05-25,886.056884765625
2021-05-26,889.171142578125
2021-05-27,891.9017333984375
2021-05-28,945.476318359375
2021-05-31,975.039306640625
2021-06-01,978.9210205078125
2021-06-02,993.5218505859375
2021-06-03,997.313232421875
2021-06-04,988.6700439453125
2021-06-07,1005.3245239257812
2021-06-08,999.5473022460938
2021-06-09,981.6741333007812
2021-06-10,985.2848510742188
2021-06-11,1002.375244140625
2021-06-14,1016.7553100585938
2021-06-15,1019.0652465820312
2021-06-16,1001.6732788085938
2021-06-17,1003.5075073242188
2021-06-18,1008.0367431640625
2021-06-21,1013.29052734375
2021-06-22,1008.08203125
